"Timestamp","Please.indicate..in.the.box.below..that.you.are.at.least.18.years.old..have.read.and.understand.this.consent.form..and.you.agree.to.participate.in.this.online.research.study.","MFQ1","MFQ2","MFQ3","MFQ4","MFQ5","MFQ6","MFQ7","MFQ8","MFQ9","MFQ10","MFQ11","MFQ12","MFQ13","MFQ14","MFQ15","MFQ16","MFQ17","MFQ18","MFQ19","MFQ20","MFQ21","MFQ22","MFQ23","MFQ24","MFQ25","MFQ26","MFQ27","MFQ28","MFQ29","MFQ30","MFQ31","MFQ32","ICS1","ICS2","ICS3","ICS4","ICS5","ICS6","ICS7","ICS8","ICS9","ICS10","What.is.your.age..in.years..","What.is.your.sex.","Do.you.have.an.active.Twitter.account.","How.often.do.you.use.or.browse.Twitter.using.your.account...approximately.","Approximately.how.many.followers.do.you.have.","If.you.do.have.a.Twitter.account..to.what.degree.do.you.use.Twitter.to.post.or.retweet.about.political..social..or.economic.issues.that.are.important.to.you..Please.skip.this.question.if.you.do.not.have.an.active.Twitter.account.","If.you.do.have.a.Twitter.account..is.your.account.public.or.private..","Twitter.username..the.exact.name.that.comes.after.....on.your.twitter.profile..","Worker.ID","Probably_fake","response_ID","Harm","Fairness","Loyalty","Authority","Purity","ICS_score"
"4/24/19 18:33","I agree to participate.",3,4,2,1,4,0,4,3,3,2,5,5,4,3,4,1,5,5,2,5,4,4,5,4,4,5,2,1,5,3,3,3,-1,-1,1,-1,1,1,-1,-1,-1,1,45,"Male","Yes","four to five times per week","more than 1000",4,"Private","","A1UCAZAI03GKS5","",359,23,25,17,20,19,-2
"4/24/19 18:36","I agree to participate.",5,5,4,5,5,0,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,3,5,5,4,-1,-1,-1,-1,-1,-1,1,1,-1,-1,30,"Male","Yes","four to five times per day or more","700 to 800",7,"Public","xBurtMcGirtx","A2R9OK4M877ZCC","",360,30,28,27,30,26,-6
"4/24/19 18:36","I agree to participate.",4,4,3,1,1,1,5,4,3,1,1,5,5,5,4,1,4,3,1,2,0,5,4,5,1,0,1,1,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,"Female","Yes","two to three times per week","300 to 400",4,"Public","jwolfe73","A14SXXOGFMEFM6","",361,23,24,14,9,5,-10
"4/24/19 18:36","I agree to participate.",5,5,1,1,3,0,5,5,3,2,4,5,5,1,3,3,5,5,5,3,4,5,5,4,1,0,3,5,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,"Male","Yes","two to three times per day","200 to 300",6,"Public","dream_in_static","A26A4HEBGP2MOX","",362,30,29,11,9,17,-10
"4/24/19 18:36","I agree to participate.",4,4,1,3,2,1,4,5,3,2,2,5,5,2,3,0,4,5,3,4,1,5,2,1,3,2,1,1,1,1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,"Female","Yes","At least once a day","less than 100",1,"Public","neffynurse","A28HB6T2S3GKVD","",363,20,21,13,17,6,-10
"4/24/19 18:37","I agree to participate.",5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,0,4,5,2,1,1,1,1,-1,-1,1,-1,1,-1,65,"Male","No","N/A ( I do not have a Twitter account)","",1,"N/A (I do not have a Twitter account)","","A1YBZWXXW358IF","",364,28,25,29,26,27,2
"4/24/19 18:39","I agree to participate.",4,5,3,5,3,0,4,4,5,5,3,4,4,4,3,1,4,3,1,3,3,5,4,3,4,3,3,2,3,3,3,5,-1,-1,-1,1,-1,1,1,-1,-1,1,25,"Male","Yes","two to three times per day","less than 100",2,"Public","PlugZXC","A1HYMGPYXU97ZN","",365,22,22,20,22,18,-2
"4/24/19 18:40","I agree to participate.",5,5,0,0,0,0,5,4,3,0,0,4,5,3,3,0,4,4,0,0,0,5,4,4,1,3,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,37,"Female","Yes","At least once a day","300 to 400",4,"Public","oOJenniLeighOo","A1KET5Z038NMWD","",366,22,22,7,6,0,-4
"4/24/19 18:42","I agree to participate.",3,3,5,4,4,1,5,3,5,4,4,5,4,5,4,5,5,3,5,5,3,5,5,4,5,4,3,5,0,3,3,5,1,-1,1,1,1,-1,-1,1,1,1,39,"Female","Yes","two to three times per week","less than 100",3,"Public","Zcekrezi","A27353U3GOR77W","",367,28,17,28,24,24,4
"4/24/19 18:43","I agree to participate.",0,0,3,3,2,0,3,3,0,0,3,4,0,0,0,5,3,0,5,4,4,4,0,3,0,3,4,0,0,0,3,4,1,1,1,1,1,-1,-1,1,1,1,40,"Male","Yes","less than once per week","less than 100",1,"Private","","A3KQC9CP3FDYSO","",368,10,6,8,13,22,6
"4/24/19 18:46","I agree to participate.",5,5,1,4,4,0,5,5,4,3,3,5,5,4,3,5,5,5,3,4,3,5,5,5,3,4,4,3,5,3,3,4,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,44,"Male","Yes","four to five times per day or more","600 to 700",7,"Public","","A2XALDG2EOF7G3","",369,28,30,18,21,23,-8
"4/24/19 18:46","I agree to participate.",5,5,5,5,5,0,5,5,5,3,4,4,5,2,5,1,4,5,5,4,4,5,5,4,2,1,4,5,5,0,3,0,1,-1,-1,-1,1,-1,1,-1,-1,-1,54,"Female","Yes","less than once per week","less than 100",2,"Public","chunky149","A1PBFDQR599N3K","",370,28,29,19,21,18,-4
"4/24/19 18:46","I agree to participate.",4,3,1,4,4,0,4,3,4,3,4,4,4,3,4,2,4,4,4,4,4,4,5,5,4,4,2,5,4,4,4,2,-1,-1,1,1,1,-1,-1,1,-1,1,61,"Male","Yes","two to three times per day","less than 100",3,"Public","","A25MAA14V6FLE3","",371,26,23,20,23,18,0
"4/24/19 18:50","I agree to participate.",4,4,3,3,4,0,3,3,4,2,3,4,4,4,4,5,3,3,2,4,4,5,3,4,4,3,1,5,3,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,"Female","Yes","At least once a day","400 to 500",3,"Public","AlaskanDana","A3VTS0S4E1U6WO","",372,22,21,18,17,19,-8
"4/24/19 18:53","I agree to participate.",4,5,0,2,1,0,5,5,4,2,3,5,5,3,5,0,4,4,0,3,0,5,5,5,0,1,1,0,5,1,4,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,28,"Female","Yes","less than once per week","less than 100",3,"Private","SlimJimJimLad","A27YJC3CPFB0N0","",373,23,29,8,17,5,-6
"4/24/19 18:54","I agree to participate.",4,5,1,3,3,0,3,4,4,1,4,5,3,2,4,1,5,5,5,3,4,4,5,5,1,0,4,4,2,3,3,2,-1,-1,-1,1,-1,-1,-1,1,-1,-1,63,"Female","Yes","two to three times per day","more than 1000",7,"Public","ISitStillShutUp","A3GUSBF7LGFWFT","",374,26,24,16,14,18,-6
"4/24/19 18:55","I agree to participate.",4,4,1,4,5,0,4,4,3,4,4,5,4,3,5,4,4,4,2,2,4,5,4,2,0,1,3,4,3,0,3,4,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,37,"Female","Yes","two to three times per week","more than 1000",2,"Public","hollyberrie05","A2QJ22AYO30HXR","",375,25,21,9,19,24,-8
"4/24/19 18:57","I agree to participate.",5,5,1,4,5,0,5,5,3,3,5,5,5,3,4,4,4,5,2,5,5,5,3,4,2,3,5,5,0,0,5,3,-1,-1,-1,1,-1,-1,-1,1,1,-1,43,"Female","Yes","four to five times per week","less than 100",2,"Public","mzglover68","A3P7XSX4AH6VRP","",376,27,24,11,24,27,-4
"4/24/19 18:59","I agree to participate.",4,4,3,3,4,0,5,4,3,4,3,5,4,3,4,3,3,4,3,3,3,5,3,4,2,3,3,1,2,3,4,3,1,-1,1,1,-1,-1,-1,-1,-1,-1,47,"Male","Yes","two to three times per week","less than 100",1,"Private","","A2EFF17UKKB6Q3","",377,21,22,17,21,19,-4
"4/24/19 18:59","I agree to participate.",3,3,1,3,4,0,3,5,1,0,0,5,3,1,2,5,3,4,3,5,1,5,1,4,2,3,1,4,1,3,3,5,1,-1,1,1,-1,-1,-1,1,-1,1,42,"Female","No","less than once per week","less than 100",1,"Public","lstrite","A110ICG2VQUGXS","",378,19,20,11,16,16,0
"4/24/19 19:00","I agree to participate.",1,1,3,3,5,0,1,4,0,1,5,5,4,2,5,0,1,5,5,3,5,5,5,4,4,2,1,1,0,2,5,3,-1,1,-1,1,1,1,1,1,-1,-1,28,"Male","Yes","At least once a day","600 to 700",2,"Public","tharandomshark","A38G96U9JZU3CW","",379,14,18,16,19,19,2
"4/24/19 19:01","I agree to participate.",4,4,4,2,3,0,3,4,4,1,2,4,5,3,3,5,4,4,4,5,5,5,2,4,2,5,5,2,3,0,5,5,1,1,1,1,1,-1,-1,1,1,1,43,"Female","Yes","two to three times per week","less than 100",2,"Public","Denise_1975","A1X2NKYJNHB1A5","",380,19,24,17,21,25,6
"4/24/19 19:01","I agree to participate.",5,4,3,2,2,0,5,3,3,2,1,5,3,3,3,0,4,5,2,4,2,5,4,4,3,4,2,2,0,3,4,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,46,"Male","Yes","less than once per week","I do not wish to disclose this information.",1,"Private","Social_Dwarf","AL2K0EBC524TR","",381,25,19,17,19,8,-6
"4/24/19 19:03","I agree to participate.",5,5,3,2,2,0,3,4,4,0,3,4,5,5,4,3,5,5,5,5,3,5,5,5,5,2,5,0,0,3,3,0,1,1,1,1,1,-1,-1,-1,-1,-1,29,"Male","No","less than once per week","less than 100",NA,"N/A (I do not have a Twitter account)","","A22FDV8V4NLNLH","",382,22,24,25,16,16,0
"4/24/19 19:03","I agree to participate.",3,2,2,1,1,0,4,3,4,1,0,3,4,4,5,0,4,4,1,1,1,4,4,2,2,4,1,1,2,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,75,"Male","Yes","less than once per week","less than 100",3,"Private","","A39J3Y8YVC6AIZ","",383,19,17,13,12,3,-6
"4/24/19 19:03","I agree to participate.",3,4,5,5,2,3,3,5,5,4,5,5,2,3,4,3,4,5,2,5,2,5,1,5,3,5,4,5,1,2,5,3,1,-1,1,1,1,1,1,-1,1,1,47,"Male","Yes","four to five times per week","less than 100",3,"Public","stdavis911","A2PRLCEP7GEQXI","",384,21,22,20,28,19,6
"4/24/19 19:04","I agree to participate.",5,3,0,0,2,0,5,5,4,0,2,5,5,1,4,1,5,4,0,1,2,5,4,4,0,1,1,2,3,1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,"Female","Yes","less than once per week","less than 100",1,"Private","","A3HTM8U4TTH34T","",385,26,24,6,9,8,-10
"4/24/19 19:05","I agree to participate.",5,3,3,3,3,0,5,5,5,1,2,4,5,4,5,0,5,5,3,5,0,5,5,5,1,3,3,3,4,3,5,0,1,-1,-1,-1,1,-1,-1,1,1,-1,44,"Male","Yes","At least once a day","100 to 200",5,"Public","JayCzarnick","AYB7U8LZ87F0K","",386,27,27,19,22,8,-2
"4/24/19 19:07","I agree to participate.",4,4,5,5,3,3,5,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,1,3,5,4,-1,-1,-1,1,-1,-1,-1,1,-1,-1,65,"Female","Yes","two to three times per week","less than 100",6,"Public","nainaico","A15VI0QFR2YO50","",387,29,25,26,29,25,-6
"4/24/19 19:08","I agree to participate.",3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,4,-1,-1,1,1,-1,1,1,1,-1,-1,29,"Male","Yes","four to five times per day or more","700 to 800",7,"Public","Kimber","A9H7HFZL9IVC3","",388,20,21,19,22,22,0
"4/24/19 19:11","I agree to participate.",2,4,1,2,1,1,0,1,1,2,1,2,3,3,4,2,2,1,0,2,1,5,3,2,4,3,2,0,2,1,2,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,38,"Female","Yes","less than once per week","100 to 200",4,"Private","","AJFHBG897","",389,9,13,10,15,8,-6
"4/24/19 19:11","I agree to participate.",4,5,1,3,2,0,4,5,4,2,2,5,5,3,5,0,5,5,4,4,4,5,5,4,4,4,4,4,1,3,5,4,-1,-1,-1,1,1,1,-1,-1,-1,-1,53,"Male","Yes","At least once a day","less than 100",1,"Public","jh_burton","A3F51C49T9A34D","",390,27,25,19,23,16,-4
"4/24/19 19:12","I agree to participate.",3,0,0,2,3,0,3,3,0,1,4,5,2,0,4,1,0,0,5,1,4,5,2,4,2,5,1,4,3,1,2,2,1,1,1,1,1,1,1,1,1,-1,29,"Male","Yes","less than once per week","100 to 200",3,"Private","jhbpicks","A1M9DKI1CPKKTC","",391,17,12,8,15,15,8
"4/24/19 19:12","I agree to participate.",5,5,2,2,4,0,5,5,2,2,3,5,5,2,3,1,5,4,4,4,1,5,5,4,2,2,1,1,1,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,"Female","Yes","four to five times per day or more","less than 100",4,"Public","ptanka","A0467121226LDESR9HWNF","",392,26,24,13,15,12,-8
"4/24/19 19:12","I agree to participate.",4,5,3,3,4,0,3,4,2,1,1,4,5,3,4,2,4,3,2,3,0,5,5,4,2,3,1,3,2,3,3,2,1,1,-1,1,-1,-1,-1,-1,-1,-1,36,"Female","Yes","four to five times per week","less than 100",3,"Private","","A22N5ONOWPNZGB","",393,23,23,15,17,10,-4
"4/24/19 19:12","I agree to participate.",4,5,1,2,1,0,3,4,1,1,1,3,4,1,2,0,4,5,0,3,1,5,4,2,0,0,0,1,4,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,"Female","Yes","At least once a day","less than 100",5,"Private","","A1O0BGHFTMPQM0","",394,19,24,3,10,4,-10
"4/24/19 19:12","I agree to participate.",4,4,2,2,4,1,3,4,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,"Male","Yes","At least once a day","100 to 200",4,"Private","","A2OTDMCV8CZWML","",395,21,22,20,18,20,-10
"4/24/19 19:13","I agree to participate.",4,4,3,4,4,0,3,4,3,3,5,5,3,2,3,2,3,4,3,5,4,5,4,5,1,4,4,3,2,2,4,3,1,1,-1,1,1,-1,-1,-1,1,-1,31,"Female","Yes","less than once per week","less than 100",1,"Private","","A3CPRNJERZC1HK","",396,22,22,14,23,22,0
"4/24/19 19:13","I agree to participate.",4,4,1,2,1,1,5,5,4,4,1,5,5,1,4,0,5,5,2,2,0,5,2,5,0,1,1,5,0,2,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,"Female","Yes","two to three times per week","100 to 200",6,"Public","itsgarsha","A5W6U5FSDF4QX","",397,26,24,10,17,4,-10
"4/24/19 19:14","I agree to participate.",5,3,3,1,3,0,5,5,1,1,1,5,5,1,0,0,4,5,1,3,0,5,4,4,1,0,0,1,1,0,4,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,53,"Male","Yes","two to three times per week","less than 100",2,"Private","","A31GFFC6UKDYJL","",398,24,23,7,9,4,-8
"4/24/19 19:14","I agree to participate.",3,2,1,3,4,0,3,4,2,3,4,4,3,2,4,5,2,1,2,4,1,5,0,3,2,5,5,2,2,3,2,3,-1,-1,1,1,-1,-1,-1,-1,-1,1,26,"Female","No","N/A ( I do not have a Twitter account)","I do not wish to disclose this information.",NA,"N/A (I do not have a Twitter account)","","A30YP6TXOXDN7C","",399,14,15,12,21,22,-4
"4/24/19 19:15","I agree to participate.",5,5,0,0,0,0,5,4,1,0,0,5,5,1,2,0,5,5,0,0,0,4,3,5,1,0,0,5,5,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,"Other","Yes","four to five times per day or more","400 to 500",5,"Public","azrtairne","A3KC385CZNYEG5","",400,28,29,4,2,1,-8
"4/24/19 19:17","I agree to participate.",4,4,4,4,4,0,4,4,4,4,4,4,4,3,4,3,4,4,5,4,4,4,4,4,4,4,4,2,0,4,4,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,67,"Male","Yes","less than once per week","less than 100",1,"Public","Jodia54299910","A4LIJVRU6DG61","",401,22,20,24,24,22,-6
"4/24/19 19:18","I agree to participate.",5,3,0,0,0,0,5,4,3,0,1,5,5,1,2,0,5,4,0,0,3,5,5,4,0,0,0,3,5,4,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,"Female","Yes","less than once per week","less than 100",2,"Private","","A1Z64L5Y143167","",402,28,25,8,3,4,-8
"4/24/19 19:19","I agree to participate.",5,3,0,3,5,0,4,4,3,0,4,5,2,1,5,0,4,5,1,1,2,5,5,1,0,0,1,5,0,0,5,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,26,"Male","Yes","four to five times per day or more","less than 100",1,"Public","komodo109","A2EL5D7VPOSQP2","",403,28,15,5,14,12,-4
"4/24/19 19:19","I agree to participate.",2,3,1,1,1,0,3,3,1,3,2,4,3,1,3,0,5,4,2,3,2,5,4,2,1,1,3,1,2,2,4,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,31,"Male","Yes","two to three times per week","less than 100",5,"Private","","A30MP4LXV4MIFD","",404,19,17,8,15,8,-6
"4/24/19 19:19","I agree to participate.",5,4,0,0,0,0,5,5,3,0,1,5,5,2,1,0,5,5,0,1,0,5,3,5,0,0,0,3,5,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,"Male","Yes","At least once a day","less than 100",2,"Public","","A237S2USWPRFDH","",405,26,29,8,2,1,-10
"4/24/19 19:20","I agree to participate.",5,3,5,4,4,5,3,3,3,4,4,1,3,3,1,4,3,4,4,5,1,5,3,4,3,3,3,5,3,4,4,3,-1,-1,1,-1,-1,1,1,1,-1,-1,32,"Female","Yes","four to five times per day or more","100 to 200",6,"Private","","AI7TBFX32C0T","",406,20,20,22,21,19,-2
"4/24/19 19:20","I agree to participate.",0,1,0,0,0,0,0,2,0,0,0,3,4,0,1,0,0,2,5,4,0,5,0,4,1,1,0,0,0,0,3,0,1,1,1,1,1,-1,1,1,1,-1,37,"Female","Yes","less than once per week","100 to 200",1,"Public","jenivi7","AJFVK3O1D7SPE","",407,3,13,6,9,0,6
"4/24/19 19:22","I agree to participate.",5,4,0,3,4,0,1,4,4,0,3,4,5,2,4,0,5,5,0,0,1,5,4,2,0,1,0,5,2,0,5,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,"Female","Yes","less than once per week","100 to 200",1,"Private","","A2SNZOY3RDSJ9A","",408,24,22,6,13,8,-8
"4/24/19 19:25","I agree to participate.",3,4,1,1,1,0,3,4,4,4,2,5,5,3,2,0,4,2,2,2,1,5,2,5,2,1,3,4,2,3,2,4,-1,-1,-1,-1,1,-1,-1,1,-1,-1,35,"Male","Yes","four to five times per day or more","100 to 200",6,"Private","SirCatBallsPhD","AGWEXUS5XLGMX","",409,21,22,15,12,11,-6
"4/24/19 19:26","I agree to participate.",4,4,1,2,2,0,4,4,4,3,3,3,4,4,4,0,4,5,5,5,3,5,5,5,1,0,1,1,2,3,5,1,1,-1,-1,1,-1,-1,-1,1,1,-1,42,"Male","Yes","four to five times per day or more","less than 100",1,"Public","flytronix225","AXJYGUTPJ6YC4","",411,21,24,18,19,10,-2
"4/24/19 19:27","I agree to participate.",4,4,4,4,3,1,4,4,4,1,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,1,1,1,1,4,1,1,1,1,-1,1,-1,1,1,1,-1,52,"Male","Yes","At least once a day","less than 100",4,"Private","","A2SM4E9WHZ1B2","",412,21,21,21,18,8,4
"4/24/19 19:27","I agree to participate.",5,5,2,5,0,0,5,5,0,0,5,5,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,5,0,0,2,0,1,1,1,1,1,1,-1,1,1,-1,33,"Female","Yes","less than once per week","300 to 400",6,"Public","","AIUKV0KVALMY6","",413,30,25,12,17,15,6
"4/24/19 19:28","I agree to participate.",4,3,2,4,2,1,3,3,4,4,4,4,3,4,4,1,4,4,2,4,4,4,4,4,4,2,2,2,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,"Female","Yes","four to five times per week","100 to 200",6,"Private","","AQP4PHYDXRBPI","",414,21,21,19,22,17,-10
"4/24/19 19:31","I agree to participate.",3,3,3,5,2,0,4,3,3,0,1,4,4,1,4,0,5,5,5,5,3,5,5,5,4,4,2,0,3,1,5,5,-1,1,-1,1,1,1,1,1,-1,1,31,"Female","Yes","four to five times per day or more","500 to 600",5,"Private","","A2MSVKXC1F3WIU","",416,21,23,17,23,13,4
"4/24/19 19:33","I agree to participate.",5,5,1,3,5,0,4,4,4,4,2,4,4,4,2,5,4,5,2,3,3,5,4,3,1,2,5,5,0,1,4,5,1,1,-1,-1,-1,-1,-1,1,-1,-1,31,"Female","Yes","two to three times per week","200 to 300",6,"Public","graysam13","A39N38SJ4SPW94","",417,26,21,13,18,25,-4
"4/24/19 19:37","I agree to participate.",5,5,2,3,1,0,4,5,3,2,3,5,5,2,3,3,4,5,3,4,4,5,5,4,2,3,2,3,1,0,4,1,1,1,-1,1,1,-1,1,1,-1,-1,25,"Female","Yes","four to five times per day or more","200 to 300",3,"Public","crystalsethh","A1X9D35OHEP9FG","",418,26,25,12,19,14,2
"4/24/19 19:37","I agree to participate.",4,4,3,3,3,0,5,4,3,3,3,4,3,3,3,4,3,2,3,2,3,2,3,3,4,3,3,5,2,3,3,2,1,-1,1,1,-1,-1,1,-1,1,-1,25,"Female","Yes","two to three times per week","less than 100",3,"Private","a1xeqjulian213","A1XEQJ3K5YHIEI","",419,24,18,19,17,18,0
"4/24/19 19:37","I agree to participate.",3,3,2,2,2,0,4,5,3,2,4,5,5,3,3,1,4,5,4,5,4,5,5,5,1,4,4,3,0,3,5,4,1,1,-1,-1,1,1,1,1,1,1,35,"Female","Yes","four to five times per day or more","100 to 200",6,"Public","","A3TOHZTNKOTFQL","",420,24,23,16,21,19,6
"4/24/19 19:38","I agree to participate.",5,3,0,3,2,0,4,4,1,0,4,5,5,2,5,0,4,5,3,3,0,5,4,5,2,1,0,0,1,1,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,"Male","Yes","two to three times per week","100 to 200",5,"Private","","A3GIFLQ4507YD4","",421,22,23,9,16,6,-10
"4/24/19 19:39","I agree to participate.",4,4,3,3,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,2,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,"Female","Yes","At least once a day","200 to 300",5,"Public","_haleymilano","A13OAZH7U7HFF4","",422,24,22,22,23,22,-10
"4/24/19 19:41","I agree to participate.",4,4,5,4,3,5,4,4,5,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,5,5,4,4,5,4,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,23,"Female","Yes","four to five times per week","600 to 700",5,"Public","codyskisses143","A3AQWV5UQ8Z19W","",423,24,25,27,26,25,-6
"4/24/19 19:42","I agree to participate.",4,5,5,5,5,0,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,5,5,4,0,2,5,5,-1,-1,-1,1,1,1,-1,1,-1,1,38,"Female","Yes","four to five times per week","200 to 300",4,"Private","","A2QKAA5YS0P4CI","",424,27,24,25,29,30,0
"4/24/19 19:44","I agree to participate.",5,5,0,0,1,0,5,5,2,0,1,5,5,2,3,0,5,5,1,1,1,5,5,5,5,5,0,4,5,1,0,2,1,-1,-1,1,1,-1,-1,-1,-1,-1,19,"Male","Yes","At least once a day","less than 100",4,"Public","owlstuff","A11EL5LWS2L1HX","",425,29,30,11,9,5,-4
"4/24/19 19:45","I agree to participate.",4,5,1,3,3,0,4,5,5,3,4,5,5,4,5,0,4,5,0,2,1,4,3,4,0,1,0,0,4,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,"Female","Yes","four to five times per day or more","200 to 300",6,"Public","sevenelevenhell","APY2D74NQIQ7W","",426,20,28,11,14,9,-8
"4/24/19 19:45","I agree to participate.",4,4,3,4,3,0,3,4,4,4,3,4,3,4,4,2,3,4,4,3,3,3,4,3,4,4,3,4,3,2,4,4,1,1,-1,1,-1,1,1,1,1,-1,28,"Male","Yes","At least once a day","800 to 900",5,"Public","","A3TF2FDYJLSEMS","",427,22,21,21,23,18,4
"4/24/19 19:46","I agree to participate.",5,4,0,0,0,0,3,4,0,0,0,3,4,0,0,0,3,4,0,0,0,4,5,1,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,35,"Male","Yes","four to five times per day or more","less than 100",1,"Private","","A1M9H7WED4RUD5","",428,19,17,0,0,0,-6
"4/24/19 19:47","I agree to participate.",4,3,3,4,4,0,3,4,4,4,4,5,4,3,5,3,3,3,3,4,3,5,3,3,4,2,3,1,0,3,2,3,-1,-1,1,1,1,-1,-1,1,-1,-1,47,"Male","Yes","At least once a day","less than 100",2,"Public","RonS_PT","A3IC7ZQ257WUNV","",429,19,17,20,21,20,-2
"4/24/19 19:48","I agree to participate.",3,4,2,3,1,1,4,4,3,2,1,4,3,3,3,0,4,4,3,3,1,5,4,4,2,3,2,3,5,3,4,3,1,1,-1,-1,-1,-1,-1,1,-1,-1,34,"Female","Yes","two to three times per week","100 to 200",4,"Private","","A2R9MIRIP29431","",430,22,24,16,18,8,-4
"4/24/19 19:50","I agree to participate.",5,4,1,1,0,0,4,4,2,1,0,5,4,3,1,5,5,5,4,4,0,5,4,5,3,0,1,3,4,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,"Female","Yes","four to five times per day or more","more than 1000",7,"Public","patriciar3","A1CUK9RG3RW1DY","",431,26,26,17,10,8,-10
"4/24/19 19:50","I agree to participate.",3,4,2,2,3,0,4,5,5,3,5,5,4,3,5,0,3,4,2,3,5,5,5,5,1,2,2,3,1,4,3,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,29,"Male","Yes","two to three times per week","less than 100",3,"Public","","A1MNVFRIMBY6SI","",432,23,23,17,18,16,-4
"4/24/19 19:50","I agree to participate.",5,5,2,2,2,1,5,5,2,2,2,2,4,4,2,2,5,4,2,2,1,1,2,3,2,1,1,5,2,3,4,1,-1,1,1,1,1,-1,-1,-1,-1,-1,36,"Male","Yes","At least once a day","100 to 200",2,"Public","","A2VFPLE7TSN1IL","",433,24,23,15,13,9,-2
"4/24/19 19:50","I agree to participate.",5,5,1,3,4,0,4,5,1,1,2,5,5,3,5,1,4,4,1,3,1,5,5,1,3,3,1,4,0,2,4,2,-1,1,-1,-1,-1,-1,-1,1,-1,-1,30,"Female","Yes","less than once per week","less than 100",1,"Public","writergirlcarly","A3FEPWQ93EKNL0","",434,27,20,11,19,11,-6
"4/24/19 19:51","I agree to participate.",3,2,5,5,4,0,3,4,2,5,1,2,3,5,4,5,1,3,5,5,2,5,1,5,5,2,1,5,2,5,5,5,-1,-1,1,-1,1,1,1,1,1,1,41,"Male","Yes","two to three times per day","300 to 400",3,"Public","","A2GSLJEIPG3QD9","",435,15,19,27,26,18,4
"4/24/19 19:52","I agree to participate.",4,5,2,1,0,0,2,3,1,0,0,3,5,1,4,0,4,5,2,3,0,4,5,4,3,0,0,3,4,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,"Female","Yes","two to three times per week","less than 100",3,"Private","","AVBRJBJONL47I","",436,21,26,9,10,0,-10
"4/24/19 19:53","I agree to participate.",4,1,0,5,4,0,3,1,5,2,2,5,0,4,5,2,4,5,5,5,3,5,4,4,1,3,4,3,0,0,1,2,-1,-1,1,1,1,1,-1,1,1,-1,23,"Male","Yes","less than once per week","less than 100",2,"Public","TrevorRodenbeck","A2BCXZKY9Y7BF6","",437,23,11,15,21,17,2
